"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"38","226.9619570548964","188.4721375966864","0.046142578125","0.05078125","0.04150390625","2400","0.0009209356288186574","32","0.0009209356288186574","0","0.0009209356288186574","0.0009209356288186574","39:0.006144111061418628;48:0.003689667182854517;28:0.15515815676080044;37:0.004154874800275737","39:68;48:68;28:208;37:68","0.046142578125","Yes"
"39","280.8357460368136","188.13437139585884","0.0146484375","0.017578125","0.01171875","2400","0.00007636759454443117","32","0.00007636759454443117","0","0.00007636759454443117","0.00007636759454443117","38:0.006144111061418628;29:0.02090609307891536;49:0.031225479338076373","38:68;29:88;49:108","0.0146484375","Yes"
"40","321.178704651629","269.0609109102709","0.01904296875","0.020263671875","0.017822265625","2400","0.00017810580192847265","32","0.00017810580192847265","0","0.00017810580192847265","0.00017810580192847265","41:0.001685837475923574;50:0.002972837797950517;30:0.0036510526743342153","41:68;50:68;30:68","0.01904296875","Yes"
"41","204.5077419014747","360.67704644074814","0.0172119140625","0.021728515625","0.0126953125","2400","0.0002850065747378483","32","0.0002850065747378483","0","0.0002850065747378483","0.0002850065747378483","40:0.001685837475923574;42:0.004994686165795625;51:0.0013638898002455713;31:0.001897125521865689","40:68;42:68;51:68;31:68","0.0172119140625","Yes"
"42","422.96451847209283","469.79652399649285","0.015625","0.0185546875","0.0126953125","2400","0.00014542945859579652","32","0.00014542945859579652","0","0.00014542945859579652","0.00014542945859579652","41:0.004994686165795625;52:0.0016142681564980388;32:0.005695159200950678","41:68;43:68;52:68;32:68","0.015625","Yes"
"43","194.0255623962419","188.22512889362957","0.0323486328125","0.041259765625","0.0234375","2400","0.0006485606620983574","32","0.0006485606620983574","0","0.0006485606620983574","0.0006485606620983574","44:0.1633605023104477;33:0.007200390626377617;53:0.005384897256908272","42:68;44:108;33:68;53:68","0.0323486328125","Yes"
"44","527.857683962518","232.54339195765556","0.090576171875","0.14208984375","0.0390625","2400","0.0001656650140243924","32","0.0001656650140243924","0","0.0001656650140243924","0.0001656650140243924","45:0.003390747427208518;54:0.0037433568377473747;43:0.1633605023104477","45:148;54:88;43:108;34:68","0.090576171875","Yes"
"45","394.02800240002335","87.71927249542564","0.031982421875","0.045654296875","0.018310546875","2400","0.00024886451565830025","32","0.00024886451565830025","0","0.00024886451565830025","0.00024886451565830025","44:0.003390747427208518;46:0.00228864203041515;55:0.0030448544464627414;35:0.0019532942720237867","44:148;46:68;55:68;35:68","0.031982421875","Yes"
"46","376.5970345144879","58.58963852781176","0.0206298828125","0.0263671875","0.014892578125","2400","0.000598323329059","32","0.000598323329059","0","0.000598323329059","0.000598323329059","36:0.002239466738401641;45:0.00228864203041515;47:0.003542904282555326;56:0.0031766731255143676","36:68;45:68;47:108;56:68","0.0206298828125","Yes"
"47","379.91668746868424","80.67973180044561","0.0203857421875","0.022705078125","0.01806640625","2400","0.00020217316833162573","32","0.00020217316833162573","0","0.00020217316833162573","0.00020217316833162573","48:0.001955904672623132;57:0.007458557719622366;46:0.003542904282555326;37:0.0027347233857821507","48:68;57:68;46:108;37:88","0.0203857421875","Yes"
"48","483.18632630895354","83.77754065648469","0.0423583984375","0.043212890625","0.04150390625","2400","0.0002534671786568777","32","0.0002534671786568777","0","0.0002534671786568777","0.0002534671786568777","47:0.001955904672623132;49:0.0023787302996907955;38:0.003689667182854517;58:0.006947067205807733","47:68;49:88;38:68;58:68","0.0423583984375","Yes"
"49","378.94245493450035","74.65401009762101","0.0283203125","0.028076171875","0.028564453125","2400","0.0001525673995547006","32","0.0001525673995547006","0","0.0001525673995547006","0.0001525673995547006","48:0.0023787302996907955;59:0.05414404805997511;39:0.031225479338076373","48:88;59:68;39:108","0.0283203125","Yes"
"50","301.03073776245907","328.2495522318845","0.0137939453125","0.015869140625","0.01171875","2400","0.00018496581170982356","32","0.00018496581170982356","0","0.00018496581170982356","0.00018496581170982356","40:0.002972837797950517;51:0.0014669901080237302;60:0.005796025614480921","40:68;51:68;60:68","0.0137939453125","Yes"
"51","379.9607514244587","127.20950706788435","0.0196533203125","0.01904296875","0.020263671875","2400","0.0002433697712019053","32","0.0002433697712019053","0","0.0002433697712019053","0.0002433697712019053","41:0.0013638898002455713;50:0.0014669901080237302;52:0.0015881148155270641;61:0.0011811941035578533","41:68;50:68;52:68;61:88","0.0196533203125","Yes"
"52","439.90160900913605","319.0665934158611","0.0220947265625","0.02734375","0.016845703125","2400","0.00014873329526995442","32","0.00014873329526995442","0","0.00014873329526995442","0.00014873329526995442","42:0.0016142681564980388;51:0.0015881148155270641;53:0.0014940078468009543;62:0.0019262123480051074","42:68;51:68;53:68;62:68","0.0220947265625","Yes"
"53","466.1752306671372","230.81634190074243","0.0911865234375","0.1357421875","0.046630859375","2400","0.00019945054873932565","32","0.00019945054873932565","0","0.00019945054873932565","0.00019945054873932565","52:0.0014940078468009543;54:0.0014893298716407155;63:0.0012143149768355233;43:0.005384897256908272","52:68;54:68;63:68;43:68","0.0911865234375","Yes"
"54","451.2638944593162","286.0841610616096","0.0206298828125","0.02490234375","0.014404296875","2400","0.00023582418093665537","32","0.00023582418093665537","0","0.00023582418093665537","0.00023582418093665537","44:0.0037433568377473747;53:0.0014893298716407155;55:0.0028216511419065227;64:0.0014831191042813108","44:88;53:68;55:88;64:88","0.0206298828125","Yes"
"55","473.00051178679814","34.465445961630664","0.031005859375","0.04248046875","0.01953125","2400","0.0007070985396082814","32","0.0007070985396082814","0","0.0007070985396082814","0.0007070985396082814","56:0.0025471597662780066;45:0.0030448544464627414;65:0.0026057687615063663;54:0.0028216511419065227","56:68;45:68;65:68;54:88","0.031005859375","Yes"
"56","329.0995356969266","86.2243940048905","0.0225830078125","0.026611328125","0.0185546875","2400","0.00018354262797833784","32","0.00018354262797833784","0","0.00018354262797833784","0.00018354262797833784","55:0.0025471597662780066;46:0.0031766731255143676;57:0.005335654713295723;66:0.002565266656278292","55:68;46:68;57:68;66:68","0.0225830078125","Yes"
"57","231.60829924905974","36.913476045033065","0.05078125","0.07958984375","0.02197265625","2400","0.0012289476008993615","32","0.0012289476008993615","0","0.0012289476008993615","0.0012289476008993615","47:0.007458557719622366;56:0.005335654713295723;58:0.007312775498806545;67:0.003427928672674496","47:68;56:68;58:68;67:68","0.05078125","Yes"
