"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"30","253.18639825300608","156.16104309746572","0.015869140625","0.02099609375","0.0107421875","2400","0.0002728762414847003","32","0.0002728762414847003","0","0.0002728762414847003","0.0002728762414847003","20:0.0024900811454278693;31:0.004419868039997221;40:0.0028541399107008536","20:128;31:188;40:128","0.015869140625","Yes"
"31","431.5230479156407","129.22494849970693","0.05126953125","0.08935546875","0.01318359375","2400","0.00013933769001265868","32","0.00013933769001265868","0","0.00013933769001265868","0.00013933769001265868","30:0.004419868039997221;32:0.0020194328079614077;41:0.00177091180203523","30:188;32:188;21:180;41:128","0.05126953125","Yes"
"32","221.5485529055603","190.98290145853107","0.0308837890625","0.048583984375","0.01318359375","2400","0.0009063800349493057","32","0.0009063800349493057","0","0.0009063800349493057","0.0009063800349493057","22:0.002200376464307069;31:0.0020194328079614077;33:0.0036632866340960413;42:0.0027778749286858917","22:168;31:188;33:208;42:188","0.0308837890625","Yes"
"33","557.415803476736","360.1882633167738","0.0606689453125","0.10546875","0.015869140625","2400","0.00047030257164798375","32","0.00047030257164798375","0","0.00047030257164798375","0.00047030257164798375","23:0.0014065112336882346;32:0.0036632866340960413;34:0.0020873454032748484;43:0.0018600304034951665","23:148;32:208;34:128;43:248","0.0606689453125","Yes"
"34","363.09850061143106","235.51354535253327","0.0228271484375","0.033203125","0.012451171875","2400","0.00017505058600344805","32","0.00017505058600344805","0","0.00017505058600344805","0.00017505058600344805","24:0.001358174304581905;33:0.0020873454032748484;35:0.0017501921027158751;44:0.003385539899140255","24:128;33:128;35:68;44:128","0.0228271484375","Yes"
"35","395.7913819200135","255.56394127225263","0.0106201171875","0.01123046875","0.010009765625","2400","0.00018536959273778632","32","0.00018536959273778632","0","0.00018536959273778632","0.00018536959273778632","25:0.0029890489634584183;36:0.0018093770862877556;45:0.00406948201281121;34:0.0017501921027158751","25:208;36:108;45:148;34:68","0.0106201171875","Yes"
"36","325.8999283845178","227.90422484441865","0.026611328125","0.030517578125","0.022705078125","2400","0.0002091132274220114","32","0.0002091132274220114","0","0.0002091132274220114","0.0002091132274220114","46:0.0029007014316511093;26:0.0051953458665582875;35:0.0018093770862877556;37:0.00220494015241815","46:148;26:268;35:108;37:88","0.026611328125","Yes"
"37","449.5383805512672","282.2582262022384","0.015380859375","0.017578125","0.013671875","2400","0.00025428410140816146","32","0.00025428410140816146","0","0.00025428410140816146","0.00025428410140816146","27:0.0019517377761325283;36:0.00220494015241815;38:0.0023653620878756887;47:0.0035337259220998285","27:108;36:88;38:148;47:148","0.015380859375","Yes"
"38","356.5355502431015","287.8271229411378","0.01904296875","0.025146484375","0.012939453125","2400","0.00016751562619073885","32","0.00016751562619073885","0","0.00016751562619073885","0.00016751562619073885","39:0.01663353130141157;48:0.19963800386646222;28:0.006503972142710035;37:0.0023653620878756887","39:168;48:188;28:228;37:148","0.01904296875","Yes"
"39","41.18532523477665","21.712689707271444","0.01953125","0.03076171875","0.00830078125","2400","0.00020936250755992794","32","0.00020936250755992794","0","0.00020936250755992794","0.00020936250755992794","38:0.01663353130141157;29:0.019041403483448627;49:0.017028907376884256","38:168;29:128;49:208","0.01953125","Yes"
"40","248.81014080154694","202.892815140383","0.0103759765625","0.010009765625","0.0107421875","2400","0.00021769705997089887","32","0.00021769705997089887","0","0.00021769705997089887","0.00021769705997089887","41:0.0014681390701204444;50:0.0013188108948861132;30:0.0028541399107008536","41:128;50:128;30:128","0.0103759765625","Yes"
"41","368.7014529936872","266.4670609071001","0.01171875","0.012939453125","0.010498046875","2400","0.00012941972149878867","32","0.00012941972149878867","0","0.00012941972149878867","0.00012941972149878867","40:0.0014681390701204444;42:0.0017235171173853592;51:0.001801630314961583;31:0.00177091180203523","40:128;42:128;51:128;31:128","0.01171875","Yes"
"42","281.3408280884893","180.31707745368848","0.01123046875","0.0146484375","0.0078125","2400","0.0002399948970150978","32","0.0002399948970150978","0","0.0002399948970150978","0.0002399948970150978","41:0.0017235171173853592;43:0.002469897792809067;52:0.003724074710235864;32:0.0027778749286858917","41:128;43:128;52:128;32:188","0.01123046875","Yes"
"43","274.9489872066114","226.20954960074567","0.0093994140625","0.0107421875","0.008056640625","2400","0.00013682666052856383","32","0.00013682666052856383","0","0.00013682666052856383","0.00013682666052856383","42:0.002469897792809067;44:0.003054565558316319;33:0.0018600304034951665;53:0.0014294506809154894","42:128;44:188;33:248;53:128","0.0093994140625","Yes"
"44","286.35801857894626","56.63529805697894","0.010986328125","0.018798828125","0.003173828125","2400","0.0006289708927645717","32","0.0006289708927645717","0","0.0006289708927645717","0.0006289708927645717","45:0.013199721142350324;54:0.0037874171910976806;43:0.003054565558316319;34:0.003385539899140255","45:508;54:128;43:188;34:128","0.010986328125","Yes"
"45","319.0803530752511","212.8000967458111","0.025146484375","0.035888671875","0.014404296875","2400","0.00027869247859026354","32","0.00027869247859026354","0","0.00027869247859026354","0.00027869247859026354","44:0.013199721142350324;46:0.002590892303621223;55:0.002552125505719899;35:0.00406948201281121","44:508;46:128;55:128;35:148","0.025146484375","Yes"
"46","240.99302337538373","137.25163316731897","0.021484375","0.034912109375","0.008056640625","2400","0.0005290744534359616","32","0.0005290744534359616","0","0.0005290744534359616","0.0005290744534359616","36:0.0029007014316511093;45:0.002590892303621223;47:0.0025713598526525827;56:0.0025274197572706936","36:148;45:128;47:208;56:188","0.021484375","Yes"
"47","137.15058789621804","135.47746293613014","0.026611328125","0.043212890625","0.010009765625","2400","0.0003453027818653573","32","0.0003453027818653573","0","0.0003453027818653573","0.0003453027818653573","48:0.026324495082947097;57:0.002961360396726509;46:0.0025713598526525827;37:0.0035337259220998285","48:128;57:168;46:208;37:148","0.026611328125","Yes"
"48","382.73932479704325","300.01668355944435","0.103515625","0.188720703125","0.018310546875","2400","0.0002129669631832574","32","0.0002129669631832574","0","0.0002129669631832574","0.0002129669631832574","47:0.026324495082947097;49:0.017379738840255454;38:0.19963800386646222;58:0.014362073387820834","47:128;49:128;38:188;58:248","0.103515625","Yes"
